column,dtype
BOROUGH,int64
NEIGHBORHOOD,object
BUILDING CLASS CATEGORY,object
TAX CLASS AS OF FINAL ROLL,object
BLOCK,int64
LOT,int64
EASE-MENT,float64
BUILDING CLASS AS OF FINAL ROLL,object
ADDRESS,object
APARTMENT NUMBER,object
ZIP CODE,float64
RESIDENTIAL UNITS,object
COMMERCIAL UNITS,object
TOTAL UNITS,object
LAND SQUARE FEET,object
GROSS SQUARE FEET,object
YEAR BUILT,float64
TAX CLASS AT TIME OF SALE,int64
BUILDING CLASS AT TIME OF SALE,object
SALE PRICE,object
SALE DATE,object
Latitude,float64
Longitude,float64
Community Board,float64
Council District,float64
BIN,float64
BBL,float64
Census Tract 2020,float64
Neighborhood Tabulation Area (NTA) (2020),object
sale_price,float64
sale_date,datetime64[ns]
target_log_price,float64
zonedist1,object
bldgclass,object
landuse,float64
lotarea,object
bldgarea,object
numfloors,float64
unitsres,object
unitstotal,object
yearbuilt,float64
residfar,float64
commfar,float64
facilfar,float64
BBL_pluto,float64
zonedist1_cat,object
is_R3,bool
is_R7,bool
is_commercial,bool
sale_year,int64
election_year,int64
CounDist,float64
dem_share,float64
