model,scope,mode,r2,mae,features_used
ElasticNet,2017,base,0.0731,0.8843,65
ElasticNet,2017,political,0.0731,0.8843,66
ElasticNet,all,base,0.07,0.8914,65
ElasticNet,all,political,0.07,0.8914,66
LightGBM,2017,base,0.097,0.8282,48
LightGBM,2017,political,0.097,0.8282,48
LightGBM,all,base,0.1358,0.8063,48
LightGBM,all,political,0.1358,0.8063,48
RandomForest,2017,base,-0.0011,0.8645,65
RandomForest,2017,political,0.0048,0.8868,66
RandomForest,all,base,0.0484,0.8381,65
RandomForest,all,political,0.0977,0.8241,66
Ridge,2017,base,0.0768,0.8716,65
Ridge,2017,political,0.0745,0.8824,66
Ridge,all,base,0.0752,0.8463,65
Ridge,all,political,0.0752,0.8496,66
